,,
C12076348,待定，eglinton 近，东西,https://housesigma.com/on/north-york-real-estate/64a-tisdale-avenue/home/B5bO3xXqVNk3kWVP?id_listing=jAXw7QpjD9dyQOzg&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12074816,midland park,https://housesigma.com/on/scarborough-real-estate/163-brockley-drive/home/DO1w3WqW6OOy8Jg0?id_listing=NkKJ3J1MdOx7d4V6&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
C12057548,东西 eglinton,https://housesigma.com/on/north-york-real-estate/84-tisdale-avenue/home/DO1w3WqWGJOy8Jg0?id_listing=nbq6y1KNeJ43o9DA&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E11999057,有火车，太便宜，待定,https://housesigma.com/on/scarborough-real-estate/148-cleanside-road/home/02Zpj39rBzdYDrK8?id_listing=6zqW7dzoq2eY5eZE&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12102545,待定 东西 后大公园,https://housesigma.com/on/scarborough-real-estate/43-singleton-road/home/gAaOyL8wDDZyGxMb?id_listing=EXrx30edZlWYOklN&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12104610,,https://housesigma.com/on/scarborough-real-estate/main-70-moraine-hill-drive/home/gJRv53K6KOq7VPW4?id_listing=eQp5yOpbeG07d0ZE&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12110057,OH Sun Sat 2-4,https://housesigma.com/on/toronto-real-estate/82-galbraith-avenue/home/J6Em7bnAdZB7XBeq?id_listing=LzQ1y5pBDAmYqdeK&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
C12106569,bathroom less,https://housesigma.com/on/north-york-real-estate/65-wigmore-dr/home/PXRla7gx4DN3jEvL?id_listing=EXrx30edGoWYOklN&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
C11940292,condo TH,https://housesigma.com/on/north-york-real-estate/23-case-ootes-drive/home/DO1w3Wq1m6ny8Jg0?id_listing=4KAX7Nj0BxO7eRPJ&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12100701,超大lot,https://housesigma.com/on/scarborough-real-estate/16-yorkshire-rd/home/6zqW7dG21Qpy5eZE?id_listing=Zaw5YoVxbkq3n961&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12085475,OH Sat only 12-2， 东西,https://housesigma.com/on/scarborough-real-estate/56-ivordale-crescent/home/gJRv53KoKdD3VPW4?id_listing=EXrx30edqZlYOklN&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
C12067261,法拍房,https://housesigma.com/on/north-york-real-estate/12-routliffe-lane/home/5xLkv3VOPQYDBNrW?id_listing=bqB176Zo9M67ZajD&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
N12030860,东西，待定,https://housesigma.com/on/vaughan-real-estate/59-brownstone-circle/home/VLaGyG2DVmvYW1ZD?id_listing=Zaw5YoVDRW03n961&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12100250,东西,https://housesigma.com/on/scarborough-real-estate/41-davisbrook-blvd/home/xmZRW7nzpwR7EBO9?id_listing=EXrx30ed1zZYOklN&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
E12103575,OH Sun Sat 2-4,https://housesigma.com/on/scarborough-real-estate/50-glendower-crct/home/VgAaOyLNl2P3GxMb?id_listing=Z5BX321nRG57Dar0&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
C12101501,OH Sun Sat 2-4,https://housesigma.com/on/toronto-real-estate/50-seton-park-road/home/Xawjy41xw5q7rR18?id_listing=dXze3eVMRELY8m9K&utm_campaign=listing&utm_source=user-share&utm_medium=desktop&ign=
